Site_ID,Time,Treat,Dry_Days,TN,NO3,NH4,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
C16,1,1,17,11.82,4.4,7.42,2671.48,590.69,5.35,71.12,412.44,58.97,1.01,3.33,0.59,1139.8,0.56,47.66,0
C17,1,1,15,19.43,8.37,11.06,2697.94,566.05,9.66,100.97,509.77,187.21,1.65,3.92,1.26,367.61,1.82,59.22,0
C2,1,1,23,11.09,4.82,6.27,3070.48,731.81,10.47,30.49,376.07,96.46,2.49,11.06,3.14,438.98,2.3,70.62,0
C5,1,1,7,3.75,0.73,3.03,2191.05,521.07,6.39,63.88,405.65,49.13,0.39,1.27,3.75,127.76,1.72,61.95,0.06
C8,1,1,8,26.15,9.31,16.84,2275.05,567.13,4.56,56.83,412.24,24.64,1.31,3.3,0.79,324.01,1.89,54.42,0
C16,2,1,45,14.34,11.67,2.68,1493.61,354.96,6.07,12.07,203.65,9.01,1.24,2.92,0.56,742.12,2.75,23.5,0.03
C17,2,1,43,6.6,6.47,0.12,1529.73,320.58,5.23,26.09,175.17,11.15,1.03,1.79,0.31,1020.24,0.42,26.58,0
C2,2,1,51,7.68,6.7,0.98,1833.07,403.64,11.26,12.27,86.86,6.21,2.29,8.76,0.36,265,1.9,37.89,0
C5,2,1,35,3.52,2.4,1.12,1466.99,390.86,11.94,7.95,177.39,10.34,0.86,1.44,1.18,958.27,0.24,23.54,0
C8,2,1,36,4.26,2.46,1.79,1536.67,385.41,5.54,3.63,170.06,18.64,1.47,2.06,0.74,880.21,0.59,15.6,0
C16,3,1,73,29.26,26.8,2.46,1943.42,446.48,40.12,5.3,52.34,3.76,1.04,2.76,1.68,377.58,1.42,31.3,0.04
C17,3,1,71,11.7,9.84,1.86,2122.4,395.22,28.24,5,95.2,4.38,3.52,5.54,0.92,672.32,2.02,26.86,0.12
C2,3,1,79,5.46,2.8,2.66,2088.8,536.66,38.56,7.56,30.56,3.82,1.18,7.24,0.66,162.4,1.52,21.38,0.1
C5,3,1,63,16.38,12.44,3.94,2342,552.28,31.2,9.62,109.54,3.04,1.86,6.16,0.6,1253.64,1.54,51.72,0.06
C8,3,1,64,7.34,5.04,2.3,1719.3,497.88,11.14,3.84,30.18,1.42,0.76,3.26,0.46,725.12,0.74,26.1,0.06
C16,4,1,101,67.36,64.88,2.48,2833.6,615.55,54.11,6.67,50.77,4.29,1.76,4.88,1.41,426.27,2.96,43.65,0.13
C17,4,1,99,75.68,70.72,4.96,4468,901.92,37.24,16.36,53.16,4.8,1.92,5.08,1.04,730.76,2.12,72.28,0.16
C2,4,1,107,5.84,2.85,2.99,2304.56,581.09,27.63,8.69,22.85,2.51,1.01,4.75,0.48,130.21,1.15,39.23,0.11
C5,4,1,91,28.96,22.88,6.08,2036.36,583.8,38.16,7.56,23.2,2.76,0.72,2.48,0.68,273.48,0.72,43.08,0.12
C8,4,1,92,34.27,31.01,3.25,1699.73,497.2,16.21,10.13,62.32,3.81,1.73,4.99,0.8,286.93,1.97,43.79,0.11
O1,1,2,21,14.59,6.8,7.78,2442.83,842.83,11.79,19.57,349.83,94.36,2.86,5.99,2.1,204.82,1.54,52.95,0
O11,1,2,13,26.32,3.92,22.4,3068.8,723.3,9.41,51.91,514.28,113.74,2.74,2.97,0.92,405.55,2.49,67.37,0
O20,1,2,6,10.1,4.65,5.45,2116.39,408.59,7.69,121.15,466.87,131.52,0.54,1.74,2.88,790.87,1.1,50.01,0.04
O7,1,2,2,10.62,1.02,9.6,1970.02,452.54,6.66,80.41,428.21,125.23,0.17,0.52,1.8,173.54,0.44,50.98,0
O9,1,2,9,16.07,11.16,4.92,1969.77,482.16,6.06,38.43,497.96,41.36,3.61,5.66,1.56,426.97,2.34,50.48,0.06
O1,2,2,49,1.51,0,1.51,1521.68,612.14,7.75,6.04,146.53,8.87,1.6,5.66,1.2,96.04,1.62,30.52,0
O11,2,2,41,1.04,0,1.04,1550.14,342.33,5.26,8.66,179.5,19.66,2.64,3.64,0.36,638.48,1.07,25.36,0
O20,2,2,34,10.56,7.98,2.58,1643.04,322.69,6.29,24.96,233.39,20,0.9,0.96,0.98,1064.74,0.16,19.42,0
O7,2,2,30,4.32,1.63,2.69,1550.27,389.84,6.67,31.58,222.53,15.58,0.59,1.09,0.53,1013.81,0.14,13.46,0
O9,2,2,37,3.76,2.48,1.28,1534.16,376.38,3.65,2.83,126.51,4.62,2.27,4.22,0.29,1082.72,0.62,10.72,0
O1,3,2,77,4.08,1.4,2.68,1191.86,747.08,25.9,3.28,17.54,2,0.4,2.06,0.44,48.2,0.6,11.44,0.16
O11,3,2,69,5.74,3.7,2.04,1834,457.1,93.54,10.48,29.58,2.82,1.28,1.86,0.42,392.22,0.68,34.16,0.06
O20,3,2,62,222.32,219.34,2.98,2522.4,431.58,18.02,4.08,83.44,5.78,1.5,2.26,0.78,1277.28,0.52,50.32,0.12
O7,3,2,58,7.94,5.26,2.68,2411,521.8,10.72,2.12,50.74,4.3,0.96,3.66,0.6,1583.7,0.92,26.88,0.06
O9,3,2,65,3.38,2.74,0.64,2547.4,597.9,18.98,3.62,36.98,2.9,0.9,2.94,0.6,517.48,0.92,28.3,0.08
O1,4,2,105,8.96,4.61,4.35,1703.15,1002.21,24.29,5.31,42.37,3.33,1.36,7.47,0.59,215.25,2.13,50.77,0.21
O11,4,2,97,11.12,6.56,4.56,2933.28,873.92,70.96,21.48,23.76,3.84,0.76,1.56,1.44,281.28,0.24,81.8,0.12
O20,4,2,90,338.48,334.52,3.96,3817.24,732.64,30.88,8.16,407.12,18.32,7.76,12.08,1.04,1079.12,5.36,70.36,0.24
O7,4,2,86,26.83,23.2,3.63,2037.92,484.53,42.56,6.19,94.77,6.19,2.88,7.76,0.43,907.07,2.99,39.52,0.13
O9,4,2,93,19.16,13.44,5.72,2954.72,812.76,37.28,7.28,55.88,4.4,2.92,5.08,0.96,583.32,3.48,76.52,0.16
F1,1,3,28,25.42,20.47,4.96,2463.02,688.74,174.27,21.56,24.7,4,2.52,7.22,1.26,47.46,1.4,56.03,0
F2,1,3,21,9.86,3.25,6.61,2879.52,669.65,14.98,58.94,324.77,79.1,1.9,7.03,2.6,558.04,0.95,71.76,0
F3,1,3,17,10.72,5.08,5.64,2213.45,570.08,13.42,77.76,278.86,46.56,1.53,1.99,0.87,233.56,0.97,46.73,0
F4,1,3,13,6.26,0.08,6.18,2024.81,501.59,5.68,76.99,363.73,82.2,0.23,0.56,0.97,61.27,0.83,50.59,0
F5,1,3,0,9.13,3.24,5.89,2010.61,467.56,6.72,101.15,352.97,72.95,0.21,0.58,1.12,219.19,0.89,43.22,0
F1,2,3,56,7.05,7.05,0,1531.77,346.05,8.34,6.1,165.76,3.22,1.4,8.99,0.33,192.11,1.84,29.65,0
F2,2,3,49,3.22,1.91,1.31,1937.91,424.43,10.87,5.96,114.72,7.9,1.46,8.99,0.48,291.46,1.6,32.85,0.02
F3,2,3,45,2.24,0,2.24,1586.03,436.4,11.86,2.45,68.26,11.73,1.79,3.92,0.56,1038.48,1.14,17.52,0
F4,2,3,41,5.62,3.36,2.26,1550.42,372.69,4.96,12.86,276.48,16.96,0.72,1.39,1.06,912.72,0.18,16.83,0
F5,2,3,28,32.45,30.64,1.81,1566.46,357.82,5.86,31.31,267.58,11.44,0.61,0.88,0.91,1039.95,0.19,20.56,0
F1,3,3,84,35.16,34.12,1.04,2081.8,468.52,39.64,7.78,54.3,2.34,1.24,9.92,0.9,241.68,2.6,33.5,0.08
F2,3,3,77,8.36,5.12,3.24,1563.92,455.56,32.94,3.36,19.5,2.24,0.56,3.72,0.74,163.56,0.6,33.74,0.14
F3,3,3,73,29.48,27.64,1.84,1097.44,313.4,49.76,4.08,11.46,0.96,0.58,1.4,0.26,201.34,0.62,22.78,0.04
F4,3,3,69,22.28,19.34,2.94,2193,588.62,33.68,5.9,69.5,4.64,1.5,2.64,0.74,454.18,1.2,46.06,0.04
F5,3,3,56,43.68,40.94,2.74,1511.32,444.12,27.44,1.98,102.02,4.9,1.12,2.7,0.5,891.66,0.68,13.56,0.08
F1,4,3,112,17.12,13.71,3.41,2194.67,536.51,45.15,4.05,13.95,1.2,0.69,5.71,0.96,244.53,0.8,52.43,0.13
F2,4,3,105,9.39,6.51,2.88,1583.52,507.92,19.68,1.55,12.59,1.36,0.48,3.07,0.45,196.8,0.61,43.63,0.11
F3,4,3,101,9.55,6.69,2.85,938.85,264.24,30.67,1.68,14.32,1.87,0.4,1.28,0.96,174.59,0.35,38.45,0.16
F4,4,3,97,25.96,20.16,5.8,1721.64,477.64,31.16,1.8,31.48,3.28,0.76,1.72,1.44,317.72,0.68,98.72,0.2
F5,4,3,84,72.92,63.32,9.6,2263.04,597.48,38.24,3.64,38.88,4.68,0.72,2.44,1.8,459.52,0.64,68.96,0.16
R1,1,4,27,25.4,17.58,7.81,3211.04,743.01,9.04,35.39,602.25,62.13,1.34,5.12,1.46,355.35,2.41,66.3,0
R2,1,4,9,15.47,9.04,6.43,2174.46,424.02,13.79,56.6,582.5,41.11,0.68,3.01,1.72,496.55,2.12,45.24,0
R3,1,4,18,16.49,10.47,6.02,2601.51,759.47,8.4,103.74,519.57,81.56,0.64,0.84,1.65,322.42,0.64,63.95,0.11
R4,1,4,9,13.69,5.8,7.9,2971.92,702.16,17.92,137.12,716.49,97.75,0.34,1.51,2.32,186.79,1.15,83.44,0
R5,1,4,16,35.78,21.88,13.9,2226.93,460.98,5.1,171.05,589.49,62.89,0.52,1.29,1.45,953.66,0.31,32.4,0.02
R1,2,4,55,3.95,1.88,2.07,1461.88,382.6,67.67,6.83,180.43,9.94,1.45,8.34,1.01,791.45,1.43,30.16,0
R2,2,4,37,12.88,11.89,0.99,1493.25,308.35,9.86,1.5,44.72,4.4,1.33,2.59,0.86,1039.12,1.01,16.08,0
R3,2,4,46,2.77,1.56,1.21,1352.32,483.09,8.98,8.26,153.42,9.08,0.42,0.75,0.75,879.37,0.2,30.61,0
R4,2,4,37,32.29,31.24,1.06,1580.76,383.06,2.99,17.14,137.73,4.45,0.45,1.34,0.17,1250.22,0.09,18.84,0
R5,2,4,44,82,80.64,1.36,1771.2,402.4,15.25,3.97,78.26,8.35,0.62,1.12,0.18,917.15,0.21,16.54,0
R1,3,4,83,41.3,39.46,1.84,2155.2,472.78,23.8,10.76,87.62,3.16,2.16,12.54,0.4,550.86,3.4,19.26,0.08
R2,3,4,65,27.2,25.26,1.94,1418.08,344.82,157.92,13.64,52.58,5.56,0.74,2.24,0.52,413.46,0.68,22.26,0.06
R3,3,4,74,12.14,6.34,5.8,1812.66,626.5,196.52,10.42,95.86,5.36,0.8,2.1,1.38,636.34,0.5,37.16,0.04
R4,3,4,65,55.8,51.24,4.56,2381,569.36,181.4,13.52,67.12,5.5,1.66,4.36,0.8,614.42,2.88,43.92,0.04
R5,3,4,72,97.26,94.6,2.66,1720.92,453.2,373.56,13.4,36.64,5.92,0.54,1.32,1.1,220.3,0.22,18.6,0.06
R1,4,4,111,38.11,36.11,2,2578.8,608.85,36.05,5.31,27.63,1.76,0.96,7.04,0.51,218.43,1.44,47.39,0.21
R2,4,4,93,32.83,29.04,3.79,1636.48,375.33,21.12,5.12,82.8,5.07,1.44,3.52,0.43,516.93,2.13,42.13,0.16
R3,4,4,102,17.48,9.56,7.92,3332.12,1176.4,180.8,30.88,78.48,8.24,2,3.6,0.88,898.08,2.12,64.44,0.16
R4,4,4,93,181.12,174.68,6.44,3694.16,887,56.08,33.84,167.16,3.88,4.6,9.6,0.84,872.24,4.16,60.08,0.2
R5,4,4,100,30.84,14.24,16.6,1115.16,315.04,154.08,6.68,23,4.68,0.6,2.04,0.6,149.96,0.04,31.32,0.24
